frame.time_epoch,frame.len
1735835356.384554000,7306
1735835356.385130000,7306
1735835356.385732000,7306
1735835356.386333000,7306
1735835356.386984000,7306
1735835356.387562000,7306
1735835356.388161000,7306
1735835356.388798000,7306
1735835356.389378000,7306
1735835356.389985000,7306
1735835356.390612000,7306
1735835356.391189000,818
1735835356.430583000,66
1735835356.431114000,66
1735835356.431591000,66
1735835356.432200000,66
1735835356.432893000,66
1735835356.433428000,66
1735835356.434060000,66
1735835356.434623000,66
1735835356.435232000,66
1735835356.435844000,66
1735835356.436441000,66
1735835356.437074000,66
1735835356.437722000,66
1735835356.438294000,66
1735835356.438866000,66
1735835356.439467000,66
1735835356.440053000,66
1735835356.440671000,66
1735835356.441259000,66
1735835356.642343000,7306
1735835356.642821000,7306
1735835356.643431000,7306
1735835356.644043000,7306
1735835356.644640000,7306
1735835356.645243000,7306
1735835356.645855000,7306
1735835356.646455000,7306
1735835356.647065000,7306
1735835356.647665000,7306
1735835356.648273000,7306
1735835356.648878000,7306
1735835356.649483000,7306
1735835356.650095000,7306
1735835356.650695000,7306
1735835356.651301000,7306
1735835356.651925000,7306
1735835356.652523000,7306
1735835356.653134000,818
1735835356.692542000,66
1735835356.692922000,66
1735835356.693539000,66
1735835356.694267000,66
1735835356.694704000,66
1735835356.695366000,66
1735835356.695968000,66
1735835356.696644000,66
1735835356.697171000,66
1735835356.697766000,66
1735835356.698380000,66
1735835356.698995000,66
1735835356.699539000,66
1735835356.700246000,66
1735835356.700791000,66
1735835356.701400000,66
1735835356.702091000,66
1735835356.702622000,66
1735835356.703301000,66
1735835356.904379000,7306
1735835356.904884000,7306
1735835356.905483000,7306
1735835356.906110000,7306
1735835356.906693000,7306
1735835356.907353000,7306
1735835356.907915000,7306
1735835356.908562000,7306
1735835356.909120000,7306
1735835356.909725000,7306
1735835356.910379000,7306
1735835356.910933000,7306
1735835356.911589000,7306
1735835356.912149000,7306
1735835356.912740000,7306
1735835356.913377000,7306
1735835356.913961000,7306
1735835356.914618000,7306
1735835356.915184000,818
1735835356.954537000,66
1735835356.954992000,66
1735835356.955561000,66
1735835356.956250000,66
1735835356.956755000,66
1735835356.957464000,66
1735835356.957989000,66
1735835356.958678000,66
1735835356.959189000,66
1735835356.959846000,66
1735835356.960500000,66
1735835356.961000000,66
1735835356.961682000,66
1735835356.962228000,66
1735835356.962909000,66
1735835356.963452000,66
1735835356.964074000,66
1735835356.964730000,66
1735835356.965251000,66
1735835357.166316000,7306
1735835357.166795000,7306
1735835357.167402000,7306
1735835357.168001000,7306
1735835357.168646000,7306
1735835357.169215000,7306
1735835357.169830000,7306
1735835357.170433000,7306
1735835357.171031000,7306
1735835357.171660000,7306
1735835357.172264000,7306
1735835357.172868000,7306
1735835357.173474000,7306
1735835357.174070000,7306
1735835357.174735000,7306
1735835357.175307000,7306
1735835357.175909000,7306
1735835357.176502000,7306
1735835357.177097000,818
1735835357.216584000,66
1735835357.216914000,66
1735835357.217511000,66
1735835357.218197000,66
1735835357.218819000,66
1735835357.219420000,66
1735835357.220013000,66
1735835357.220570000,66
1735835357.221169000,66
1735835357.221830000,66
1735835357.222416000,66
1735835357.223025000,66
1735835357.223620000,66
1735835357.224185000,66
1735835357.224934000,66
1735835357.225474000,66
1735835357.226093000,66
1735835357.226607000,66
1735835357.227256000,66
1735835357.429435000,7306
1735835357.429932000,7306
1735835357.430588000,7306
1735835357.431139000,7306
1735835357.431799000,7306
1735835357.432378000,7306
1735835357.432959000,7306
1735835357.433574000,7306
1735835357.434224000,7306
1735835357.434770000,7306
1735835357.435393000,7306
1735835357.436042000,7306
1735835357.436589000,7306
1735835357.437194000,7306
1735835357.437801000,7306
1735835357.438463000,7306
1735835357.439011000,7306
1735835357.439672000,7306
1735835357.440221000,818
1735835357.479621000,66
1735835357.480076000,66
1735835357.480815000,66
1735835357.481300000,66
1735835357.482001000,66
1735835357.482531000,66
1735835357.483118000,66
1735835357.483800000,66
1735835357.484359000,66
1735835357.484892000,66
1735835357.485540000,66
1735835357.486197000,66
1735835357.486718000,66
1735835357.487382000,66
1735835357.487999000,66
1735835357.488682000,66
1735835357.489115000,66
1735835357.489830000,66
1735835357.490284000,66
1735835357.691318000,7306
1735835357.691814000,7306
1735835357.692411000,7306
1735835357.693012000,7306
1735835357.693629000,7306
1735835357.694229000,7306
1735835357.694892000,7306
1735835357.695449000,7306
1735835357.696044000,7306
1735835357.696707000,7306
1735835357.697262000,7306
1735835357.697929000,7306
1735835357.698480000,7306
1735835357.699073000,7306
1735835357.699736000,7306
1735835357.700289000,7306
1735835357.700916000,7306
1735835357.701506000,7306
1735835357.702110000,818
1735835357.741469000,66
1735835357.741872000,66
1735835357.742474000,66
1735835357.743087000,66
1735835357.743706000,66
1735835357.744287000,66
1735835357.745021000,66
1735835357.745536000,66
1735835357.746103000,66
1735835357.746855000,66
